,time,truth Western Europe,prior Western Europe,prior bias Western Europe,prior rel bias Western Europe,post C_ffCO2_pert Western Europe,post bias C_ffCO2_pert Western Europe,post bias red C_ffCO2_pert Western Europe,post unc C_ffCO2_pert Western Europe,post unc red C_ffCO2_pert Western Europe,post C_ffCO2 Western Europe,post bias C_ffCO2 Western Europe,post bias red C_ffCO2 Western Europe,post unc C_ffCO2 Western Europe,post unc red C_ffCO2 Western Europe,post C_ff_nuc14Cmin_pert Western Europe,post bias C_ff_nuc14Cmin_pert Western Europe,post bias red C_ff_nuc14Cmin_pert Western Europe,post unc C_ff_nuc14Cmin_pert Western Europe,post unc red C_ff_nuc14Cmin_pert Western Europe,post C_ff_nuc14Cmin Western Europe,post bias C_ff_nuc14Cmin Western Europe,post bias red C_ff_nuc14Cmin Western Europe,post unc C_ff_nuc14Cmin Western Europe,post unc red C_ff_nuc14Cmin Western Europe,prior unc Western Europe,prior unc Western Europe frac,truth DE,prior DE,prior bias DE,prior rel bias DE,post C_ffCO2_pert DE,post bias C_ffCO2_pert DE,post bias red C_ffCO2_pert DE,post unc C_ffCO2_pert DE,post unc red C_ffCO2_pert DE,post C_ffCO2 DE,post bias C_ffCO2 DE,post bias red C_ffCO2 DE,post unc C_ffCO2 DE,post unc red C_ffCO2 DE,post C_ff_nuc14Cmin_pert DE,post bias C_ff_nuc14Cmin_pert DE,post bias red C_ff_nuc14Cmin_pert DE,post unc C_ff_nuc14Cmin_pert DE,post unc red C_ff_nuc14Cmin_pert DE,post C_ff_nuc14Cmin DE,post bias C_ff_nuc14Cmin DE,post bias red C_ff_nuc14Cmin DE,post unc C_ff_nuc14Cmin DE,post unc red C_ff_nuc14Cmin DE,prior unc DE,prior unc DE frac
0,2018-01-01,1.5205892383736639,1.1259343902149257,0.3946548481587382,0.35051318406164317,1.4061896301993206,0.11439960817434325,0.7101274475454324,0.6971593634744713,,1.4061896301993206,0.11439960817434325,0.7101274475454324,0.15705128707653412,,1.495518225141404,0.025071013232259798,0.9364735708956102,0.22569835916750464,,1.495518225141404,0.025071013232259798,0.9364735708956102,0.18720144246682296,,1.8534938860609518,1.6461828523659756,0.790257680494267,0.5567023410259847,0.23355533946828233,0.4195336039684102,0.7368315665124912,0.05342611398177588,0.7712485867229281,0.38936127834450746,,0.7368315665124912,0.05342611398177588,0.7712485867229281,0.1557628643064147,,0.7678685647898366,0.022389115704430473,0.9041378554846913,0.17546790315970737,,0.7678685647898366,0.022389115704430473,0.9041378554846913,0.10970307539406415,,1.1918899073084226,2.140982387664847
1,2018-02-01,1.4574566842323373,1.165774730010817,0.2916819542215203,0.25020438916085774,1.4210906742666398,0.0363660099656975,0.8753230721360327,0.2268797541499251,,1.4210906742666398,0.0363660099656975,0.8753230721360327,0.13699587091575896,,1.4658930456881802,0.008436361455842922,0.9710768481431804,0.18578784392242234,,1.4658930456881802,0.008436361455842922,0.9710768481431804,0.16003256786702175,,2.0767874107908826,1.7814654558274843,0.7556372601998324,0.5743151798691042,0.18132208033072816,0.31571876677899136,0.7524010460488926,0.0032362141509397757,0.982152123199574,0.20895992580393638,,0.7524010460488926,0.0032362141509397757,0.982152123199574,0.11425264315524573,,0.7754285185997244,0.019791258399892042,0.8908502573774074,0.14047245164692165,,0.7754285185997244,0.019791258399892042,0.8908502573774074,0.14732210703159065,,1.3256966223088484,2.308308519045233
2,2018-03-01,1.3784836350571912,1.0696538750050852,0.30882976005210594,0.28871933928219323,1.3306800777077852,0.047803557349406,0.8452106515209526,0.33822770708139244,,1.3306800777077852,0.047803557349406,0.8452106515209526,0.1493377842032482,,1.3374387453628884,0.041044889694302755,0.8670954195367129,0.1892696636573872,,1.3374387453628884,0.041044889694302755,0.8670954195367129,0.1906737842840886,,1.860995597275885,1.7398110180894146,0.7092696739854694,0.55018829606117,0.15908137792429933,0.2891398800432,0.7033610151992086,0.00590865878626079,0.962857633851572,0.21270678845567706,,0.7033610151992086,0.00590865878626079,0.962857633851572,0.14441605065061544,,0.7041394339702624,0.0051302400152070105,0.9677508449942627,0.14207580678136622,,0.7041394339702624,0.0051302400152070105,0.9677508449942627,0.1498868187320199,,1.184298509767346,2.1525330841201233
3,2018-04-01,1.2731392626820695,1.0042689829962594,0.26887027968581,0.2677273561547519,1.268624702865924,0.004514559816145347,0.9832091526760753,0.5631476523081929,,1.268624702865924,0.004514559816145347,0.9832091526760753,0.1746629227697284,,1.2524881092973859,0.020651153384683596,0.9231928742410072,0.18568337444052957,,1.2524881092973859,0.020651153384683596,0.9231928742410072,0.1734347862622285,,1.6194569330921766,1.612572886857951,0.656283154457769,0.5121269948572814,0.14415615960048755,0.2814851805276555,0.6422661392004262,0.01401701525734278,0.9027650618871275,0.31869261093803114,,0.6422661392004262,0.01401701525734278,0.9027650618871275,0.14868791142181573,,0.6066570285535897,0.04962612590417925,0.6557474474783982,0.12134311671232006,,0.6066570285535897,0.04962612590417925,0.6557474474783982,0.10996819237015176,,1.1799213527370596,2.303962424526904
4,2018-05-01,1.1596076350426803,0.9273918065034358,0.2322158285392445,0.2503966790635908,1.0993393712274682,0.06026826381521211,0.7404644455361631,0.3295047953217291,,1.0993393712274682,0.06026826381521211,0.7404644455361631,0.17661417431362147,,1.061542782144708,0.09806485289797218,0.5776995327370666,0.24384312760288185,,1.061542782144708,0.09806485289797218,0.5776995327370666,0.1886925682715477,,1.6354575019673683,1.7635022117928418,0.5961575384117223,0.48675689619193846,0.1094006422197838,0.2247541700501041,0.6492749515624954,0.05311741315077312,0.5144689092038304,0.23868857178191313,,0.6492749515624954,0.05311741315077312,0.5144689092038304,0.18412221361662415,,0.5853598494218252,0.01079768898989708,0.9013014113006327,0.17016681116972057,,0.5853598494218252,0.01079768898989708,0.9013014113006327,0.12932326682984016,,1.1985918659960557,2.4624034613028387
5,2018-06-01,1.043606428244915,0.9145049004075828,0.1291015278373321,0.14117095247908812,1.058745540338888,0.015139112093973006,0.8827348339901269,0.44208582681091446,,1.058745540338888,0.015139112093973006,0.8827348339901269,0.1512338114929475,,1.0465254184581274,0.0029189902132125134,0.9773899638361334,0.17657902277217888,,1.0465254184581274,0.0029189902132125134,0.9773899638361334,0.17881805357550126,,1.6144902593145944,1.765425487162548,0.5379981099619366,0.4744045173949864,0.06359359256695024,0.13404929808879243,0.5361380376099194,0.001860072352017239,0.9707506326198039,0.25611637627183087,,0.5361380376099194,0.001860072352017239,0.9707506326198039,0.13636060845849649,,0.5098223032118739,0.028175806750062704,0.5569395341142318,0.12677616847387757,,0.5098223032118739,0.028175806750062704,0.5569395341142318,0.13197616023446102,,1.1870552669943928,2.5022005977359982
6,2018-07-01,0.9362800978678247,0.8934204494125396,0.042859648455285115,0.04797254023395937,0.8997912644849799,0.03648883338284481,0.14864366139369733,0.584567452749197,,0.8997912644849799,0.03648883338284481,0.14864366139369733,0.2295174283319634,,0.9570894144894239,0.020809316621599128,0.514477664386137,0.3322600123304598,,0.9570894144894239,0.020809316621599128,0.514477664386137,0.2565288743937987,,1.9725203975631147,2.207829917996759,0.4845129357047022,0.4643808988977283,0.020132036806973896,0.043352422235195386,0.4740356292192126,0.010477306485489613,0.47957046840584994,0.22803673465580898,,0.4740356292192126,0.010477306485489613,0.47957046840584994,0.16030778222677108,,0.4720689492737187,0.012443986430983545,0.3818813987726841,0.13700360386230048,,0.4720689492737187,0.012443986430983545,0.3818813987726841,0.11815773959008505,,1.422484269196514,3.0631842794847404
7,2018-08-01,1.0134052990551288,0.8677671134612983,0.14563818559383046,0.1678309575629312,1.0566175185701767,0.043212219515047945,0.7032905941607768,0.601612800590744,,1.0566175185701767,0.043212219515047945,0.7032905941607768,0.1696566877986034,,1.0004589959096348,0.012946303145493943,0.9111063963567919,0.2673161154452545,,1.0004589959096348,0.012946303145493943,0.9111063963567919,0.20408081434845027,,1.7173410402939373,1.979034482470658,0.5247257587568338,0.45685705997976306,0.06786869877707075,0.14855565279012445,0.5490595143890161,0.02433375563218232,0.6414583442639479,0.30812721694399164,,0.5490595143890161,0.02433375563218232,0.6414583442639479,0.17579983582983608,,0.5328340211297367,0.008108262372902852,0.8805301631089735,0.14307415780876107,,0.5328340211297367,0.008108262372902852,0.8805301631089735,0.1354349609695841,,1.2103758766555623,2.6493535564694506
8,2018-09-01,1.145103077920022,0.9382292260344215,0.20687385188560048,0.22049393276735418,1.0796366634996717,0.06546641442035028,0.683544276748167,0.6856678125889327,,1.0796366634996717,0.06546641442035028,0.683544276748167,0.16865536184028215,,1.0734127166988912,0.07169036122113082,0.6534585663306787,0.1779493470219686,,1.0734127166988912,0.07169036122113082,0.6534585663306787,0.1447711757525597,,1.6138722532536862,1.7201257522908127,0.5885876321260074,0.4837368909363708,0.10485074118963661,0.21675159193808177,0.5613406354337719,0.027246996692235514,0.7401353926248774,0.37409374006287366,,0.5613406354337719,0.027246996692235514,0.7401353926248774,0.13482815320675076,,0.5548434620808728,0.033744170045134636,0.6781694658304438,0.16028437876457505,,0.5548434620808728,0.033744170045134636,0.6781694658304438,0.10143930392943125,,1.1077377929548677,2.2899593016580084
9,2018-10-01,1.2800194352830587,1.002976269969771,0.27704316531328765,0.27622105687668713,1.1761722522482505,0.10384718303480822,0.6251588343015966,0.5783014398321444,,1.1761722522482505,0.10384718303480822,0.6251588343015966,0.19506061333046315,,1.2654353287631164,0.014584106519942353,0.9473579992365079,0.18129012823356397,,1.2654353287631164,0.014584106519942353,0.9473579992365079,0.16409627591689624,,1.9859304231469868,1.9800372975991158,0.6540670783844788,0.5100209028672061,0.1440461755172726,0.2824319056483413,0.6311358052294312,0.022931273155047505,0.8408060951795433,0.2893298855230099,,0.6311358052294312,0.022931273155047505,0.8408060951795433,0.07804298998053666,,0.6746495771408813,0.0205824987564025,0.8571117998621598,0.14254353863247549,,0.6746495771408813,0.0205824987564025,0.8571117998621598,0.07384032699015806,,1.3614572701229366,2.6694146503980023
