site,time,obs_permil,mix_c14_nuclear,mix_c14_ocedis,mix_c14_biodis,mix_c14_ocean,mix_c14_biosphere,mix_c14_fossil,mix_bg_D14C
CBW,2018-01-01 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-02 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-03 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-04 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-05 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-06 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-07 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-08 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-09 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-10 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-11 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-12 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-13 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-14 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-15 11:00:00,-11.220633430211858,6.738062287109705,0.03390800266266123,0.16247038931889676,-0.0007779703307114017,0.03822058461365961,-19.254712419767923,1.08800628017432
CBW,2018-01-15 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
CBW,2018-01-16 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
CBW,2018-01-17 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
CBW,2018-01-18 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
CBW,2018-01-19 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
CBW,2018-01-20 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
CBW,2018-01-21 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
CBW,2018-01-22 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
CBW,2018-01-23 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
CBW,2018-01-24 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
CBW,2018-01-25 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
CBW,2018-01-26 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
CBW,2018-01-27 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
CBW,2018-01-28 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
CBW,2018-01-29 11:00:00,-23.275760596493306,3.8864638543819003,0.010055046805357393,0.3140802506230713,-0.00042315137698195225,0.0947842485964777,-27.968000313693878,0.4041011534575303
