site,name,country,lat,lon,alt,height,kindz,time,tracer,type,integration,timezone,time_LT,timestamp,mix_bg_CO2,mix_bg_D14C,mix_background,footprint,obsid,mix_co2_ocean,mix_co2_biosphere,fossil_True,nuclear_True,mix_c14_ocedis,mix_c14_biodis,mix_c14_ocean,mix_c14_biosphere,mix_c14_fossil,co_fossil_True,obs,mix,mix_fg_CO2,co_fossil_Prior,fossil_Prior,nuclear_Prior,ffCO2,ffCO,nuc14C,ffCO2_ffCO,ffCO2_nuc14C,obs_permil
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-14 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-14 13:00:00+01:00,569246400.0,410.7933322364624,-2.11607232160878,-0.8692684002470177,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180114-120000,0.0,1.9942829959524535,0.531835761533606,0.0,0.0,0.0489907255441978,0.0,0.0137605526720719,-0.531835761533606,0.0071970001733196,-1.338352883564354,-1.338352883564354,413.31945099394846,0.0071970001733196,0.6114055360740585,0.0,0,0,1,0,0,-3.23805927919891
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-15 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-15 13:00:00+01:00,569332800.0,410.3732220456099,-0.968486466792352,-0.3974409118851461,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180115-120000,0.0,2.419197158072241,0.8278765963989358,0.3355476484596158,0.0,0.0522766022992509,0.0,0.0166924603906984,-0.8278765963989358,0.0080369067740255,-0.836598721446925,-0.8208007971345167,413.62029580008107,0.0080369067740255,1.193323955226813,0.3197497241472074,0,0,1,0,0,-1.984430661331092
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-16 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-16 13:00:00+01:00,569419200.0,410.9600387622789,-1.5259740883678952,-0.6271143705059035,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180116-120000,-0.0005271840864301,2.280991804065265,0.7712322753784963,0.010273315103125,1.2142585385926788e-05,0.0601598225876017,-3.6375701963676974e-06,0.0157388434480503,-0.7712322753784963,0.0150447050691025,-1.313927781914454,-1.3121661597304333,414.0117356576362,0.0150447050691025,0.8059836249510711,0.0085116929191039,0,0,1,0,0,-3.1693936348111613
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-17 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-17 13:00:00+01:00,569505600.0,408.7414049286737,0.4908553320490934,0.200632898038477,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180117-120000,-0.0129706294137777,5.546778737898153,2.663883519764956,0.0257138491706012,5.361310944519174e-05,0.1418360488899457,-8.949734295506616e-05,0.0382727732914972,-2.663883519764956,0.0525680434046821,-2.258822014279608,-2.257463834607944,416.93909655692306,0.0525680434046821,2.56553997655803,0.0243556694989379,0,1,1,0,0,-5.414373114083202
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-18 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-18 13:00:00+01:00,569592000.0,408.754064733852,0.6606980419245213,0.270063010198345,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180118-120000,0.0065782686608412,1.250180390965338,1.5618446680976716,0.6597506610172057,0.0021588987031109,0.034869863366047,4.539005375980447e-05,0.0086262446976608,-1.5618446680976716,0.0132026606811999,-0.4649990107742597,-0.5863306000615423,411.5726680615758,0.0132026606811999,2.1088351242858887,0.7810822503044882,0,0,1,0,0,-1.4246101492187053
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-19 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-19 13:00:00+01:00,569678400.0,408.3692079266043,0.5684722321193078,0.2321465551588304,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180119-120000,-0.0019232859342195,2.6021865136955724,3.789453872564998,0.5509214378610614,0.0015405615664232,0.0807786292572734,-1.3270672946115084e-05,0.0179550869444994,-3.789453872564998,0.0258781524671643,-2.8531446724484635,-2.9061248724498565,414.7589250269307,0.0258781524671643,2.558278551397729,0.6039016378624545,0,0,1,0,0,-7.006780799861411
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-20 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-20 13:00:00+01:00,569764800.0,408.8965312385677,0.3210186956510565,0.1312634311144465,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180120-120000,0.2073544230364509,3.637501261762617,2.973640756551272,1.6683684804387058,0.0024132590148252,0.0863308038212922,0.0014307455189515,0.025098758706162,-2.973640756551272,0.0301238801579752,-1.1624801118914971,-1.0587352779368888,415.7150276799181,0.0301238801579752,2.207128083953577,1.5646236464840977,0,0,0,0,0,-2.5467813464565623
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-21 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-21 13:00:00+01:00,569851200.0,408.8723716479676,0.3818684881765645,0.1561354744183758,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180121-120000,0.0250822053700425,2.172685405072139,2.952051923399907,0.4244710113092088,0.0023192557033862,0.06484612119845,0.0001730672170532,0.0149915292949977,-2.952051923399907,0.0219853407637229,-2.2484270554668533,-2.2891154642584355,414.0221911818097,0.0219853407637229,2.0806554305751352,0.4651594201007907,0,0,1,0,0,-5.5289680432931565
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-22 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-22 13:00:00+01:00,569937600.0,410.2413134055025,-0.334706470738505,-0.1373104221610847,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180122-120000,-0.0106783177517719,6.4458989426902376,5.040405076597036,1.4534398761422516,0.0009330422527823,0.2509000978173401,-7.368039248722637e-05,0.0444767027045626,-5.040405076597036,0.0576534966404191,-3.3733675181187857,-3.4280394602336712,421.716939107038,0.0576534966404191,3.5421461090785407,1.5081118182571371,0,1,0,0,0,-8.128768712711311
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-23 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-23 13:00:00+01:00,570024000.0,411.028935551501,-0.9877189242047608,-0.4059810580399565,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180123-120000,-0.0073043719037039,4.4653745043300646,2.8893217555100863,0.6285996242871705,0.0014944112529657,0.1830271688445838,-5.040016613555749e-05,0.0308110840798774,-2.8893217555100863,0.0382664703901576,-2.4319702412320314,-2.451420925251581,418.37632743943743,0.0382664703901576,3.435030994992552,0.6480503083067201,0,0,1,0,0,-5.859368144117664
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-24 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-24 13:00:00+01:00,570110400.0,408.7102039004097,0.1189934545749689,0.0486338390821496,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180124-120000,-0.0005148387892084,5.951555722300268,7.801270268276179,0.849274575386884,0.0021855193941831,0.2187491028225631,-3.552387645538186e-06,0.0410657344838718,-7.801270268276179,0.0857214697276912,-6.679090061893855,-6.641365049494173,422.4625150521969,0.0857214697276912,7.466766533993063,0.8115495629872023,1,1,1,1,1,-15.72060197736977
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-25 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-25 13:00:00+01:00,570196800.0,407.92340504636405,0.5746011305513624,0.2343932497180021,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180125-120000,-0.0114597139621595,5.052912860997068,9.895688626945695,1.1362836203561213,0.00240773347475,0.1565438750274037,-7.907202633890118e-05,0.0348650987408797,-9.895688626945695,0.0854369152074023,-8.461996889014767,-8.331274121654879,422.86054682034467,0.0854369152074023,6.490129111757447,1.005560852996234,1,1,0,1,0,-19.70217884903431
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-26 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-26 13:00:00+01:00,570283200.0,408.3448715606066,0.3375974608933554,0.1378561918076841,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180126-120000,-0.0074100987485798,3.375255429493348,3.0036777992141683,0.4316093706013651,0.0011394534966442,0.1308227927622972,-5.112968136520121e-05,0.0232892624635041,-3.0036777992141683,0.0507965074726509,-2.3476250312506903,-2.2790118577640386,414.7163946905655,0.0507965074726509,2.836418652358609,0.3629961971147136,0,1,1,0,0,-5.495350285017041
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-27 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-27 13:00:00+01:00,570369600.0,407.67764588840896,0.6995995788996724,0.2852111093903406,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180127-120000,-0.0090555455576021,6.52007606728899,14.107601056654534,0.7843031082846809,0.0016632707811096,0.2136195672059838,-6.248326434745478e-05,0.044988524864294,-14.107601056654534,0.1500226690901083,-12.891647258835254,-12.777877959392471,428.29626746679486,0.1500226690901083,11.12973405249153,0.6705338088418981,1,1,1,1,1,-29.834203400764217
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-28 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-28 13:00:00+01:00,570456000.0,407.43002931395176,0.8089882168196916,0.3296060928934885,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180128-120000,-0.010460023916875,3.840284170159197,5.703998563452889,0.5553325186954342,0.001211108655255,0.1169622353246431,-7.217416502643814e-05,0.0264979607740984,-5.703998563452889,0.058913690393724,-4.773960977174315,-4.674460821274996,416.96385202364695,0.058913690393724,5.823538110025468,0.4558323627961159,1,1,1,1,1,-11.210709989819208
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-29 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-29 13:00:00+01:00,570542400.0,407.9581740647003,-0.1826566570181807,-0.0745162762778992,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180129-120000,-0.0237366726084521,2.205394389721763,5.198130417202833,0.9400438667935598,0.0028761531787884,0.0745123447701689,-0.0001637830409983,0.0152172212890801,-5.198130417202833,0.0345611993229343,-4.185914227597491,-4.240160890490134,415.33796219901643,0.0345611993229343,5.484619612680397,0.9942905296862012,1,0,1,0,1,-10.208941335486175
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-30 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-30 13:00:00+01:00,570628800.0,409.6034823667353,-0.5416769404800184,-0.2218727611383743,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180130-120000,0.0512869209817399,1.5966124592584423,4.24146833070732,2.6478618152686924,0.0048502650252026,0.0684845419995103,0.000353879754774,0.0110166259688832,-4.24146833070732,0.0251194222483975,-1.9283580920230228,-1.7307739638286326,415.4928500776828,0.0251194222483975,2.8407558864529667,2.450277687074302,0,0,0,0,0,-4.165592653411575
