,time,truth Western Europe,prior Western Europe,prior bias Western Europe,prior rel bias Western Europe,post CORSO Western Europe,post bias CORSO Western Europe,post bias red CORSO Western Europe,post unc CORSO Western Europe,post unc red CORSO Western Europe,post CORSO_ffCO2 Western Europe,post bias CORSO_ffCO2 Western Europe,post bias red CORSO_ffCO2 Western Europe,post unc CORSO_ffCO2 Western Europe,post unc red CORSO_ffCO2 Western Europe,post CORSO_ffCO2_ffCO Western Europe,post bias CORSO_ffCO2_ffCO Western Europe,post bias red CORSO_ffCO2_ffCO Western Europe,post unc CORSO_ffCO2_ffCO Western Europe,post unc red CORSO_ffCO2_ffCO Western Europe,prior unc Western Europe,prior unc Western Europe frac,truth DE,prior DE,prior bias DE,prior rel bias DE,post CORSO DE,post bias CORSO DE,post bias red CORSO DE,post unc CORSO DE,post unc red CORSO DE,post CORSO_ffCO2 DE,post bias CORSO_ffCO2 DE,post bias red CORSO_ffCO2 DE,post unc CORSO_ffCO2 DE,post unc red CORSO_ffCO2 DE,post CORSO_ffCO2_ffCO DE,post bias CORSO_ffCO2_ffCO DE,post bias red CORSO_ffCO2_ffCO DE,post unc CORSO_ffCO2_ffCO DE,post unc red CORSO_ffCO2_ffCO DE,prior unc DE,prior unc DE frac
0,2018-01-01,1.5205892383736639,1.1259343902149257,0.3946548481587382,0.35051318406164317,1.4458911067404534,0.07469813163321048,0.8107254174585349,0.2033408180588348,,1.4061896301993206,0.11439960817434325,0.7101274475454324,0.17468317990355375,,1.4392224611577347,0.08136677721592922,0.7938280054190495,0.14121096744895065,,1.9363066998271936,1.7197331537742433,0.790257680494267,0.5567023410259847,0.23355533946828233,0.4195336039684102,0.7616852639916586,0.028572416502608444,0.8776631843756726,0.11197004574309533,,0.7368315665124912,0.05342611398177588,0.7712485867229281,0.18503070106789143,,0.7535043821492772,0.03675329834498986,0.8426355893696831,0.12631040860346335,,1.2860938706611278,2.3102002199072804
1,2018-02-01,1.4574566842323373,1.165774730010817,0.2916819542215203,0.25020438916085774,1.463273637461955,0.005816953229617727,0.9800572056466682,0.17547171251627297,,1.4210906742666398,0.0363660099656975,0.8753230721360327,0.1487467960754321,,1.435244205671237,0.022212478561100424,0.9238469221711572,0.17685825822533396,,1.9950226930199555,1.711327790577039,0.7556372601998324,0.5743151798691042,0.18132208033072816,0.31571876677899136,0.7662831666298325,0.010645906430000185,0.9412873136543424,0.12320189866159588,,0.7524010460488926,0.0032362141509397757,0.982152123199574,0.1237266146091283,,0.7659642822309569,0.010327022031124566,0.9430459764619495,0.1577029703114019,,1.219857873156599,2.124021645108918
2,2018-03-01,1.3784836350571912,1.0696538750050852,0.30882976005210594,0.28871933928219323,1.3551314931899083,0.02335214186728285,0.9243850661822783,0.1662586765616505,,1.3306800777077852,0.047803557349406,0.8452106515209526,0.14294138396671205,,1.3443168889398858,0.03416674611730541,0.8893670541610343,0.13499698047032685,,1.745369811009835,1.6317145684173184,0.7092696739854694,0.55018829606117,0.15908137792429933,0.2891398800432,0.7237607448185677,0.014491070833098307,0.9089078116987769,0.14610832509574068,,0.7033610151992086,0.00590865878626079,0.962857633851572,0.15234461355603765,,0.7147684349885988,0.005498761003129404,0.9654342885705576,0.11735813866848613,,1.1459927465774058,2.0829100778435934
3,2018-04-01,1.2731392626820695,1.0042689829962594,0.26887027968581,0.2677273561547519,1.2546111575067571,0.018528105175312337,0.9310890545546222,0.16476166247721577,,1.268624702865924,0.004514559816145347,0.9832091526760753,0.13686054705007653,,1.2797938949703027,0.006654632288233264,0.9752496546066394,0.18599087143014212,,1.6402278081381945,1.6332554683154081,0.656283154457769,0.5121269948572814,0.14415615960048755,0.2814851805276555,0.6072463989524859,0.04903675550528308,0.6598358638216856,0.14346993016171758,,0.6422661392004262,0.01401701525734278,0.9027650618871275,0.11233636777454231,,0.6545868091304995,0.0016963453272694773,0.9882325851911516,0.1509133977703042,,1.1525340787373057,2.25048491938702
4,2018-05-01,1.1596076350426803,0.9273918065034358,0.2322158285392445,0.2503966790635908,1.0849828416114728,0.07462479343120743,0.6786403670213383,0.19759349435764265,,1.0993393712274682,0.06026826381521211,0.7404644455361631,0.16645164019765804,,1.1158733689579428,0.043734266084737516,0.8116654391742015,0.15431431098407283,,1.7455980965529811,1.8822660328803693,0.5961575384117223,0.48675689619193846,0.1094006422197838,0.2247541700501041,0.6034907348276384,0.007333196415916121,0.932969347646206,0.1384041440983353,,0.6492749515624954,0.05311741315077312,0.5144689092038304,0.1844870011082788,,0.6575555314204589,0.06139799300873661,0.4387784956016143,0.12090243780345522,,1.146707797988314,2.35581212502461
5,2018-06-01,1.043606428244915,0.9145049004075828,0.1291015278373321,0.14117095247908812,1.069419810798434,0.02581338255351917,0.8000536245702372,0.28181400919207655,,1.058745540338888,0.015139112093973006,0.8827348339901269,0.1549986977332109,,1.1008026082124334,0.05719617996751847,0.5569674431770811,0.20681431147186907,,1.6251997265892977,1.7771361595383115,0.5379981099619366,0.4744045173949864,0.06359359256695024,0.13404929808879243,0.5387451251732343,0.0007470152112976081,0.9882532943784995,0.18262009745278454,,0.5361380376099194,0.001860072352017239,0.9707506326198039,0.12222496986945433,,0.5659506021934348,0.027952492231498205,0.5604511224606425,0.1143743347742472,,1.137900999365753,2.398588035405117
6,2018-07-01,0.9362800978678247,0.8934204494125396,0.042859648455285115,0.04797254023395937,0.9970906315571136,0.060810533689288904,-0.41882950236355065,0.15440148878665153,,0.8997912644849799,0.03648883338284481,0.14864366139369733,0.18261485922487664,,0.9459003941087976,0.009620296240972825,0.7755395438903436,0.1978372240672151,,1.8307290649297374,2.049123753696836,0.4845129357047022,0.4643808988977283,0.020132036806973896,0.043352422235195386,0.5114426519018762,0.026929716197173992,-0.3376548262541088,0.11613903170380618,,0.4740356292192126,0.010477306485489613,0.47957046840584994,0.13079018893906216,,0.5033263065810227,0.018813370876320512,0.06550087024461371,0.14205292542820047,,1.2859792689814395,2.769233773468908
7,2018-08-01,1.0134052990551288,0.8677671134612983,0.14563818559383046,0.1678309575629312,1.0465837809991994,0.03317848194407058,0.772185558280698,0.20275657605148767,,1.0566175185701767,0.043212219515047945,0.7032905941607768,0.16876182337119533,,1.1212938867280353,0.10788858767290654,0.2592012374158764,0.2847634142051772,,1.7888682071386788,2.0614611678510686,0.5247257587568338,0.45685705997976306,0.06786869877707075,0.14855565279012445,0.5895729107447584,0.06484715198792457,0.044520476207612236,0.15337258680927657,,0.5490595143890161,0.02433375563218232,0.6414583442639479,0.1692392686337859,,0.5783808738665409,0.05365511510970711,0.20942767319071776,0.16572873548494582,,1.2721113127491481,2.7844843041398937
8,2018-09-01,1.145103077920022,0.9382292260344215,0.20687385188560048,0.22049393276735418,1.0583283523485012,0.08677472557152077,0.5805428052864483,0.24944847430458866,,1.0796366634996717,0.06546641442035028,0.683544276748167,0.18305724583960797,,1.1279530303360255,0.01715004758399652,0.9170990077881841,0.2522499611386095,,1.914785862339585,2.0408507955275907,0.5885876321260074,0.4837368909363708,0.10485074118963661,0.21675159193808177,0.5624515464883749,0.026136085637632478,0.7507305590681341,0.17724763486920547,,0.5613406354337719,0.027246996692235514,0.7401353926248774,0.14400472297136127,,0.6034060938007808,0.014818461674773409,0.8586708924835139,0.1284525462488981,,1.3688306593484847,2.829700783619863
9,2018-10-01,1.2800194352830587,1.002976269969771,0.27704316531328765,0.27622105687668713,1.2322692076169708,0.04775022766608794,0.8276433652059572,0.18497842223603495,,1.1761722522482505,0.10384718303480822,0.6251588343015966,0.1629197101646067,,1.2069113291332054,0.0731081061498533,0.7361129408582205,0.17107507806895153,,1.9418597313693065,1.9360973828701178,0.6540670783844788,0.5100209028672061,0.1440461755172726,0.2824319056483413,0.6601203302652656,0.00605325188078687,0.9579770038388765,0.12260317543599196,,0.6311358052294312,0.022931273155047505,0.8408060951795433,0.08537340824032721,,0.654048888220341,1.8190164137732445e-05,0.9998737199091027,0.11330654834275253,,1.364233220991953,2.6748574682382333
